"obs","paper_id","paper_obs_count","i_report","la","la_type","la_aggmean","la_indmean","la_indmedian","both_stats","se","se_imp","se_type","se_calc","se_calc_method","main_citation","main_title","main_lastnames","main_firstnames","main_yearpub","main_published","main_journal","main_affliations","pub_econtopfive","pub_regular","pub_unpub","pub_type_1","pub_type_2","journal_if","journal_if_std","data_type","type_lab_exp","type_field_exp","type_class_exp","type_online_exp","type_gameshow","type_field_other","location","loc_lab","loc_field","loc_online","loc_class","subject","subject_children","subject_uni","subject_elderly","subject_gen","subject_farmer","subject_mixed","subject_unknown","subject_monkey","reward","reward_type","reward_real","reward_money","reward_food","reward_cons_good","reward_env_good","reward_health","reward_other","reward_mixed","method","method_question","method_seqbin","method_mpl","method_matching","method_bdm","method_gp","method_other","method_other_type","computer","spec_u","spec_u_fine","spec_u_est","spec_u_crra","spec_u_crra_eq","spec_u_crra_noneq","spec_u_cara","spec_u_linear","spec_u_other","spec_nonparametric","spec_rp","spec_rp_statusquo","spec_rp_expectation","spec_rp_zero","spec_rp_other","la_def","loss_tversky_kahneman","loss_koebberling_wakker","loss_neilson","loss_wakker_tversky","loss_bowman","loss_koszegi_rabin","loss_other","loc_country","loc_state","loc_city","continent","continent_africa","continent_europe","continent_s_america","continent_asia","continent_oceania","continent_n_america","continent_multiple","journal_category","journal_cat_1","journal_cat_2","cat_econ","cat_psych","cat_neuro","cat_agri","cat_medical","cat_mgt","cat_transport","cat_multi"
1,1,1,1,2.25,"Ind. median",0,0,1,0,NA,0.04898,"SE imputed",0,NA,"Tversky and Kahneman (1992)","Advances in Prospect Theory: Cumulative Representation of Uncertainty","Tversky; Kahneman","Amos; Daniel",1992,1,"Journal of Risk and Uncertainty","Stanford University; University of California Berkeley",0,1,0,"Published","Published",2.122,-0.210601155779087,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"MPL",0,0,1,0,0,0,0,NA,1,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","CA","Berkeley; Palo Alto","North America",0,0,0,0,0,1,0,"Economics","Business & Economics","Business, Finance",1,0,0,0,0,0,0,0
2,2,1,2,1.457,"Aggregate",1,0,0,0,0.21,0.21,"SE reported",0,NA,"Hardie et al. (1993)","Modeling Loss Aversion and Reference Dependence Effects on Brand Choice","Hardie; Johnson; Fader","Bruce G S; Eric J; Peter S",1993,1,"Marketing Science","University of Pennsylvania",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","IN","Marion","North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
3,2,2,3,1.66,"Aggregate",1,0,0,0,0.119,0.119,"SE reported",0,NA,"Hardie et al. (1993)","Modeling Loss Aversion and Reference Dependence Effects on Brand Choice","Hardie; Johnson; Fader","Bruce G S; Eric J; Peter S",1993,1,"Marketing Science","University of Pennsylvania",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","IN","Marion","North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
4,2,3,4,2.695,"Aggregate",1,0,0,0,0.233,0.233,"SE reported",0,NA,"Hardie et al. (1993)","Modeling Loss Aversion and Reference Dependence Effects on Brand Choice","Hardie; Johnson; Fader","Bruce G S; Eric J; Peter S",1993,1,"Marketing Science","University of Pennsylvania",0,1,0,"Published","Published",2.49,-0.149171752488648,"Other field data",0,0,0,0,0,1,"Field",0,1,0,0,"General",0,0,0,1,0,0,0,0,"Mixed","Non-money","Real",0,0,0,0,0,0,1,"Other",0,0,0,0,0,0,1,NA,0,"Other parametric","Other parametric",0,0,0,0,0,0,1,0,"Status quo",1,0,0,0,"Tversky-Kahneman",1,0,0,0,0,0,0,"USA","IN","Marion","North America",0,0,0,0,0,1,0,"Economics","Economics","Business",1,0,0,0,0,0,0,0
5,3,1,5,2.1,"Aggregate",1,0,0,0,NA,0.19525,"SE imputed",0,NA,"Casey (1994)","Buyers' Pricing Behavior for Risky Alternatives: Encoding Processes and Preference Reversals","Casey","Jeff T.",1994,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Classroom experiment",0,0,1,0,0,0,"Class",0,0,0,1,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
6,3,2,6,2.9,"Aggregate",1,0,0,0,NA,0.58383,"SE imputed",0,NA,"Casey (1994)","Buyers' Pricing Behavior for Risky Alternatives: Encoding Processes and Preference Reversals","Casey","Jeff T.",1994,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Classroom experiment",0,0,1,0,0,0,"Class",0,0,0,1,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - R","Real",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA",NA,NA,"North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
7,4,1,7,4.25,"Aggregate",1,0,0,0,NA,0.03535,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
8,4,2,8,0.97,"Aggregate",1,0,0,0,NA,0.14564,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
9,4,3,9,0.24,"Aggregate",1,0,0,0,NA,0.11808,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
10,4,4,10,1.04,"Aggregate",1,0,0,0,NA,0.05647,"SE imputed",0,NA,"Casey (1995)","Predicting Buyer-Seller Pricing Disparities","Casey","Jeff T.",1995,1,"Management Science","State University of New York at Stony Brook",0,1,0,"Published","Published",4.219,0.139446286340617,"Lab experiment",1,0,0,0,0,0,"Lab",1,0,0,0,"Uni. population",0,1,0,0,0,0,0,0,"Money","Money - H","Hypothetical",1,0,0,0,0,0,0,"BDM",0,0,0,0,1,0,0,NA,0,"CRRA","CRRA (eq)",1,1,1,0,0,0,0,0,"Zero",0,0,1,0,"NA",0,0,0,0,0,0,1,"USA","New York","Stony Brook","North America",0,0,0,0,0,1,0,"Business/Management","Management","Operations Research & Management Science",0,0,0,0,0,1,0,0
